Request,Label
Quais filmes estão atualmente em cartaz no Speakeasy Theatres,search_screening_event
Faça uma lista do que está faltando.,no_intent
Dá-me os horários do filme para filmes exibidos no bairro,search_screening_event
"reservar um restaurante em Clawson, MS para um",book_restaurant
É sobre o tempo que os franceses aprenderam da América sobre o assunto.,no_intent
Deixe-me saber quando o Maiden Danced to Death será exibido em um cinema.,search_screening_event
"Eu quero enviar músicas para as listas de ann do SIR John Winston Ono Lennon, colocá-las em sua lista Infinite Indie Folk.",add_to_playlist
classifique este livro 1 de 6,rate_book
Encontre os filmes e os horários dos filmes no bairro,search_screening_event
É difícil recordar tantos discursos quando se permaneceu tanto tempo no asilo.,no_intent
É onde fica a maior frigideira anti-aderente do mundo.,no_intent
"É um lindo dia, vamos zarpar nesta água cristalina, com o capitão Bryan, para ver a nave mãe.",no_intent
Tocar música no iTunes.,play_music
"Preciso entrar em contato com as pessoas com dor, angústia, desespero.",no_intent
Quer apostar que quando chegamos no chão vamos encontrar o General Boyd querendo nos mostrar slides de nossas experiências pré-natal ?,no_intent
Você pode adicionar algo da Snow na minha playlist do Zen Focus?,add_to_playlist
"Posso dizer-lhe que Jaspers se tornou uma ameaça para uma importante cerimónia, que um grupo de pessoas anda a planear há centenas de anos.",no_intent
"Quer me encontrar no Batting Cages, em Denver?",no_intent
"olhe Toxie, depois de todo este tempo voce vai poder voltar para casa",no_intent
Vamos começar a ouvir propostas esta tarde.,no_intent
Vai querer três horas de negociação... antes de ser resgatado?,no_intent
"É modesto, algo tímido... ..e muito bonito, e ao mesmo tempo masculino e descuidado.",no_intent
É que eu sempre consigo encontrar uma maneira de vencer,search_creative_work
tocar algum grunge,play_music
Ativar Spotify para Tiny Tim ep,play_music
A que horas são os horários dos filmes?,search_screening_event
Existe algo que gostaria de estar fazendo agora mais do que ir para a escola?,no_intent
"por favor, dê um 2 de 6 para House of Many Ways",rate_book
"É a última coisa que precisas, não é?",no_intent
Use o Spotify para me tocar música,play_music
Preciso de uma previsão do tempo para São Tomé e Príncipe em 8 de dezembro de 2026,get_weather
"Vamos nos encontrar com Neil e vamos conversar sobre algumas coisas, eu acho, beber um pouco de vinho local.",no_intent
reservar um restaurante para um em Skillman,book_restaurant
É estranho lembrar que este filme... causou um escândalo na história do cinema americano.,search_screening_event
Vamos marcar o ultra-som e ver o que ele aponta.,no_intent
"Vai ser tarde demais, ele vai estar morto.",no_intent
Onde é o cinema mais próximo que está jogando Sirivantha,search_screening_event
Dê o campo de cebola dois pontos fora de 6.,rate_book
Eu preciso de uma reserva para 2 a uma curta distância de Hoyt St,book_restaurant
Avalie o livro atual dois pontos,rate_book
Vá 5.4 milhas e você vai subir um grande morro.,no_intent
"Vá quando puder, estaremos lá, não vamos a lugar nenhum.",no_intent
Reserve um restaurante para dez em OK.,book_restaurant
Jogue o desfile suave.,play_music
Posso dizer uma coisa sem você querer jogar uma faca em mim?,no_intent
é Unidade de Conservação da Natureza Cape Mount tem tempestade,get_weather
Posso lhe dar um pouco d'água ou alguma coisa?,no_intent
Jogue uma das cinco principais sinfonias de Jonny Buckland por volta de 1989,play_music
Quais são os dois agentes são vai acompanhá-los?,no_intent
É como encontrar uma agulha num palheiro.,search_creative_work
Eu preciso ouvir uma trilha sonora dos anos trinta,play_music
"Você pode me encontrar o trabalho intitulado, um pouco curioso?",search_creative_work
É com esse estado de espírito que devolvemos Bennett àquele reino de onde Deus miraculosamente criou a vida.,no_intent
Reserve uma reserva para um restaurante de delicatessen que serve farçous em OK,book_restaurant
encontre um livro chamado Siga-me,search_creative_work
Diga-me se será mais quente daqui a uma semana em Waxhaw,get_weather
Vamos ver o que mais temos aqui...,no_intent
adicionar sintonia a NUSIC,add_to_playlist
"É um showzinho, é um show pequeno... é um ""boquete"" show... é um ""pocket"" show.",search_creative_work
"É isto que me encanta, as coisas ordinárias que a maioria das pessoas vê de relance, eu acho realmente belo.",no_intent
Qual é o tempo em 10 meses na Área Protegida Nacional Nam Kading?,get_weather
Será que vai ficar mais quente no Zenith CT?,get_weather
caminhão de alimentos no Panamá por cinco,rate_book
encontrar o filme Chaos Is Me,search_creative_work
Eu quero uma mesa para 3 em um restaurante,book_restaurant
"Vai ficar com tanto medo, que vai fazer o que eu disser.",no_intent
jogo The New Timer por Augustus Pablo com Itunes,play_music
é só questão de tempo até que ele nos encontre.,no_intent
"Posso dizer que ele gostava de ir, e ficava um longo tempo e me pareceu estranho, eu não gostava.",no_intent
Avalie este romance quatro de seis,rate_book
"Quer dizer, cada vez que encontrar uma peça desse quebra-cabeça, faz cada vez menos sentido.",no_intent
encontrar Harry Potter e as Relíquias da Morte - Parte 2,search_creative_work
Eu preciso de uma reserva para Cashel Palace Hotel na Califórnia para uma festa de 9,book_restaurant
É bobagem fazer amizade com o vizinho de mesa ou de sala.,no_intent
Adicione Barbara à lista de reprodução do xplorer de metal.,add_to_playlist
É fato que a humanidade... por um longo tempo tenta fazer contato com inteligências extraterrestres.,no_intent
tocar músicas de movimento dos anos cinquenta por Fabio on Last Fm,play_music
Adicione o artista à minha lista de reprodução de festa clássica.,add_to_playlist
Reserve uma mesa para kristina e teresa em 1 segundo.,book_restaurant
Reserve-me uma mesa em uma brasserie romena em Rixford,book_restaurant
"Preciso ver a disponibilidade dele, mas tem certeza de que ele é o mais indicado?",no_intent
"Quer saber, Frasier, você não vai se dar bem só porque estou vulnerável.",no_intent
Qual será o tempo aqui?,get_weather
Você vai me mostrar os filmes tocando por aqui?,search_screening_event
Haverá vento em Hornitos DC?,get_weather
Reserve um lugar para mim e Katrina em Smithville,book_restaurant
Vamos encontrar um lugar onde estaremos à salvo.,no_intent
Avalie o porquê do sexo ser divertido? saga dois de 6,rate_book
Encontre Next of Kin,search_creative_work
Vamos ver o que a família do Harold pensa sobre seu passeio.,no_intent
Quanta umidade existe em UT?,get_weather
reservar uma mesa em Fairview vizinho da área,book_restaurant
É difícil encontrar um homem em que você possa confiar.,no_intent
Quero ver os relatórios de inspeção.,search_creative_work
É intenção do meu padrinho que esta viagem dê a seu afilhado tempo pra reflexão e exercício por seus poderes de julgamento.,no_intent
Posso ver um dos copos que você usa nessa terapia?,no_intent
mostre a programação do filme dos filmes na área,search_screening_event
"Vamos jogar esse corpo em algum lugar, e então a culpa será de alguém da cidade.",no_intent
Vamos mostrar para o diretor um catálogo com telescópios.,no_intent
A Lei dos Sonhos recebe uma classificação baixa de um,rate_book
Tocar música de sinfonia de Joe Dolce,play_music
Quero uma lista de potenciais substitutos para a equipe no avião.,no_intent
Jogue fora cada batata frita do lugar e ponha na minha conta.,no_intent
Cobertura: O Ataque Oculta aos Nossos Direitos Civis 1 ponto,rate_book
Reserve-me uma reserva para a Fatty Crew em 13 semanas em Haskell,book_restaurant
Existe um guarda em cada saída o tempo todo.,no_intent
Vamos ver se há qualquer camas sobre ela.,no_intent
"Vamos ver como funciona depois, ok?",no_intent
Quero permissão para ir junto com a equipe que vai atravessar o Stargate para ir ao planeta.,no_intent
mostre-me a programação dos filmes por perto,search_screening_event
É ainda melhor ouvir da segunda vez!,no_intent
Preciso ter certeza se vai manter a minha vida privada.,no_intent
"Classifique Anarquia, Estado e Utopia saga a 5",rate_book
Encontre uma fotografia chamada Sleeping with the Enemy.,search_creative_work
Quero ver relatórios de progresso no avanço dessa teoria.,no_intent
tocar música dos anos vinte,play_music
adicionar unir e ganhar a minha noite fora,add_to_playlist
tocar músicas de quatro mil por Bryan Webb no Groove Shark,play_music
Use Deezer para tocar a última música de Lee Dorrian,play_music
